name,email,password,role,user_role
山田太郎,yamada@test.com,password123,オペレーター,user
伊藤あけ太郎,itoake@test.com,password123,オペレーター,user
鈴木健太郎,suzuken@test.com,password123,校正,user
山本みつる,yamaon@test.com,password123,校正,user
岩城与一,iwaki@test.com,password123,進行管理,coordinator
源治太郎,genji@test.com,password123,進行管理,coordinator
鈴木次郎,suzuki@test.com,password123,進行管理,leader
矢山次郎,yayama@test.com,password123,進行管理,leader
佐藤健一,sato_k@test.com,password123,進行管理,user
高橋真由,takahashi_m@test.com,password123,校正,user
田中悠人,tanaka_y@test.com,password123,オペレーター,user
渡辺彩,watanabe_a@test.com,password123,進行管理,user
伊藤和也,ito_k@test.com,password123,校正,user
中村陽子,nakamura_y@test.com,password123,オペレーター,user
小林亮,kobayashi_r@test.com,password123,進行管理,user
加藤直子,kato_n@test.com,password123,校正,user
吉田誠,yoshida_m@test.com,password123,オペレーター,user
山口夏美,yamaguchi_n@test.com,password123,進行管理,user
野口亮介,noguchi_r@test.com,password123,校正,user
谷口美咲,taniguchi_m@test.com,password123,オペレーター,user
松本優,matsumoto_y@test.com,password123,進行管理,user
佐々木直人,sasaki_n@test.com,password123,校正,user
石川愛,ishikawa_a@test.com,password123,オペレーター,user
上田誠,ueda_m@test.com,password123,進行管理,user
落合良介,ochiai_r@test.com,password123,校正,user
中島葵,nakajima_a@test.com,password123,オペレーター,user
井上香,inoue_k@test.com,password123,進行管理,user
橋本徹,hashimoto_t@test.com,password123,校正,user
岡本里奈,okamoto_r@test.com,password123,オペレーター,user
